identifiant,nom_etablissement,numero_siret,adresse,code_postal,commune,departement,region,coordonnees_x,coordonnees_y,code_epsg,code_ape,libelle_ape,libelle_eprtr,prelevements_eaux_souterraines,prelevements_eaux_surface,prelevements_reseau_distribution,somme_prelevements_(m3),Somme_de_rejet_raccorde_m3_par_an,Somme_de_rejet_isole_m3_par_an,Somme_des_rejets_(m3)
6700444,ARCONIC ARCHITECTURAL PRODUCTS SAS,91622050200071,2 RUE MARIE CURIE,68500,MERXHEIM,HAUT-RHIN,GRAND-EST,7.285290,47.907600,2154,2561Z,Traitement et revêtement des métaux,"Installations destinées au traitement de surface de matières, d'objets ou de produits à  l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an",  21 360 ,,  1 183 ,  22 543 ,  8 103 ,  5 856 ,  13 959 
5600190,BRIVADOISE DE TRAITEMENT DE SURFACES,42074398100029,172 AVENUE D AUVERGNE,43100,BRIOUDE,HAUTE-LOIRE,AUVERGNE-RHONE-ALPES,3.373990,45.315200,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  13 095 ,  13 095 
6103464,STEM SOC TRAIT ELECTROL METAUX,33126111500017,17 avenue de Rochetaille,42100,SAINT-ETIENNE,LOIRE,AUVERGNE-RHONE-ALPES,4.390000,45.458330,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,  12 547 ,,  12 547 
6103933,HIT,47988565900025,4 RUE LAVOISIER,69680,CHASSIEU,RHONE,AUVERGNE-RHONE-ALPES,4.966830,45.732610,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,  10 469 ,,,  10 469 ,  12 436 ,,  12 436 
6103509,SOCIETE FOREZIENNE DE TRAITEMENT DE     SURFACE,31959673000014,Z I LES CHAUX ZI,42450,SURY-LE-COMTAL,LOIRE,AUVERGNE-RHONE-ALPES,4.182230,45.524000,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  12 080 ,  12 080 
10000591,PROTECTION DE SURFACE GENERALE,44394880700013,ROUTE DE TOURS ZI,36500,BUZANCAIS,INDRE,CENTRE,1.431000,46.889170,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  10 921 ,  10 921 
10800207,DECORAL,40915672600021,16 RUE DE L INDUSTRIE Z.I. DES MARAIS,74160,SAINT-JULIEN-EN-GENEVOIS,HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES,6.089500,46.141440,4326,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,  10 686 ,,  10 686 
5901039,SOCIETE NOUVELLE REVETIS,52239353700017,28 RUE DE LA RESISTANCE,39600,VILLETTE-LES-ARBOIS,JURA,BOURGOGNE-FRANCHE-COMTE,5.745800,46.924140,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  10 681 ,  10 681 
6103146,AD PLATING GRENOBLE,81423663400022,1  1 avenue de la Galochre,38400,SAINT-MARTIN-D'HERES,ISERE,AUVERGNE-RHONE-ALPES,5.777060,45.177400,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,  9 709 ,,  2 278 ,  11 987 ,  10 352 ,,  10 352 
6104665,METAL X,79578012100013,645 ROUTE DE LA DRANSE ZI DU VIEUX MOTTAY,74500,PUBLIER,HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES,6.520480,46.398610,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,  10 230 ,,,  10 230 ,,  10 230 ,  10 230 
