identifiant,nom_etablissement,numero_siret,adresse,code_postal,commune,departement,region,coordonnees_x,coordonnees_y,code_epsg,code_ape,libelle_ape,libelle_eprtr,prelevements_eaux_souterraines,prelevements_eaux_surface,prelevements_reseau_distribution,somme_prelevements_(m3),Somme_de_rejet_raccorde_m3_par_an,Somme_de_rejet_isole_m3_par_an,Somme_des_rejets_(m3)
5301340,NEVEUX ET CIE,34340680700028,Route de la carriere,50250,DOVILLE,MANCHE,NORMANDIE,-1.564150,49.330930,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,,,,,  301 233 ,  301 233 
6806833,CEMEX GRANULATS SUD OUEST,89695029200061,LIEU-DIT LAPEYRE,31660,BUZET-SUR-TARN,HAUTE-GARONNE,OCCITANIE,1.613050,43.761960,27572,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,  217 910 ,,  217 910 ,,  264 366 ,  264 366 
6807732,CEMEX GRANULATS SUD OUEST,89695029200194,LIEU-DIT MAILHAULES,31410,LAVERNOSE-LACASSE,HAUTE-GARONNE,OCCITANIE,1.254830,43.374090,,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  7 226 ,,,  7 226 ,,  264 366 ,  264 366 
5207291,CEMEX GRANULATS SUD OUEST,89695029200228,BERRON RTE D ARSAC,33480,AVENSAN,GIRONDE,NOUVELLE-AQUITAINE,-0.722200,45.014240,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  62 980 ,,,  62 980 ,,  264 366 ,  264 366 
6802032,CEMEX GRANULATS SUD OUEST,89695029200053,ZI JAMBOURT RN 20,31550,CINTEGABELLE,HAUTE-GARONNE,OCCITANIE,1.551470,43.286920,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,  64 595 ,,,  64 595 ,,  264 366 ,  264 366 
6802139,CEMEX GRANULATS SUD OUEST,89695029200038,1 ROUTE VIEILLE DE GRAULHET LD LOMBARDOU,81000,ALBI,TARN,OCCITANIE,2.129850,43.907970,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  85 805 ,,,  85 805 ,,  264 366 ,  264 366 
5204189,CEMEX GRANULATS SUD OUEST,89695029200012,QRT CACHON,40500,SAINT-SEVER,LANDES,NOUVELLE-AQUITAINE,-0.541450,43.772340,27572,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  93 335 ,,,  93 335 ,,  264 366 ,  264 366 
5204605,CEMEX GRANULATS SUD OUEST,89695029200087,Rue Principale de Cassaber Chemin Dpartemental N 17,64270,CARRESSE-CASSABER,PYRENEES-ATLANTIQUES,NOUVELLE-AQUITAINE,-1.007050,43.492080,27572,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  156 467 ,,,  156 467 ,,  264 366 ,  264 366 
6800581,CEMEX GRANULATS SUD OUEST,89695029200210,QUARTIER LAMEDAN,31390,SALLES-SUR-GARONNE,HAUTE-GARONNE,OCCITANIE,1.174700,43.286600,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,  275 722 ,,,  275 722 ,,  264 366 ,  264 366 
6801750,CEMEX GRANULATS SUD OUEST,89695029200129,LIEU-DIT LA MANDRE FENDEILLE,81540,SOREZE,TARN,OCCITANIE,2.088490,43.442530,,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,,,,,  264 366 ,  264 366 
